sensor, date, amplitude
Sensor 22,20250602,60.44
Sensor 22,20250603,41.67
Sensor 22,20250604,0.00
Sensor 23,20250504,0.00
Sensor 23,20250505,19.69
Sensor 23,20250506,2.92
Sensor 23,20250507,3.69
Sensor 23,20250508,20.20
Sensor 23,20250509,40.93
Sensor 23,20250510,0.05
Sensor 23,20250511,0.03
Sensor 23,20250512,0.18
Sensor 23,20250513,0.33
Sensor 23,20250514,16.72
Sensor 23,20250515,20.90
Sensor 23,20250516,18.03
Sensor 23,20250517,8.89
Sensor 23,20250518,1.59
Sensor 23,20250519,0.06
Sensor 23,20250520,0.13
Sensor 23,20250521,0.08
Sensor 23,20250522,0.03
Sensor 23,20250523,0.13
Sensor 23,20250524,0.04
Sensor 23,20250525,0.75
Sensor 23,20250526,1.19
Sensor 23,20250527,3.03
Sensor 23,20250528,2.52
Sensor 23,20250529,0.34
Sensor 23,20250530,2.23
Sensor 23,20250531,8.16
Sensor 23,20250601,1.10
Sensor 23,20250602,40.10
Sensor 23,20250603,58.54
Sensor 23,20250604,105.81
Sensor 24,20250505,35.04
Sensor 24,20250506,2.48
Sensor 24,20250507,2.85
Sensor 24,20250508,11.73
Sensor 24,20250509,13.08
Sensor 24,20250510,22.84
Sensor 24,20250511,47.67
Sensor 24,20250512,13.16
Sensor 24,20250513,32.21
Sensor 24,20250514,42.29
Sensor 24,20250515,67.92
Sensor 24,20250516,67.81
Sensor 24,20250517,32.76
Sensor 24,20250518,10.42
Sensor 24,20250519,41.46
Sensor 24,20250520,41.28
Sensor 24,20250521,11.34
Sensor 24,20250522,6.44
Sensor 24,20250523,14.50
Sensor 24,20250524,43.54
Sensor 24,20250525,46.17
Sensor 24,20250526,44.96
Sensor 24,20250527,38.95
Sensor 24,20250528,27.92
Sensor 24,20250529,42.66
Sensor 24,20250530,28.26
Sensor 24,20250531,29.81
Sensor 24,20250601,75.93
Sensor 24,20250602,33.60
Sensor 24,20250603,27.34
Sensor 24,20250604,47.57
Sensor 3,20250505,2.70
Sensor 3,20250506,1.14
Sensor 3,20250507,0.92
Sensor 3,20250508,6.39
Sensor 3,20250509,2.58
Sensor 3,20250510,4.80
Sensor 3,20250511,0.99
Sensor 3,20250512,0.68
Sensor 3,20250513,2.34
Sensor 3,20250514,2.45
Sensor 3,20250515,4.50
Sensor 3,20250516,4.61
Sensor 3,20250517,2.27
Sensor 3,20250518,1.93
Sensor 3,20250519,0.07
Sensor 3,20250520,0.26
Sensor 3,20250521,1.34
Sensor 3,20250522,1.10
Sensor 3,20250523,0.74
Sensor 3,20250524,0.26
Sensor 3,20250525,1.01
Sensor 3,20250526,2.67
Sensor 3,20250527,2.76
Sensor 3,20250528,2.16
Sensor 3,20250529,1.65
Sensor 3,20250530,2.58
Sensor 3,20250531,0.39
Sensor 3,20250601,0.29
Sensor 3,20250602,0.78
Sensor 3,20250603,0.00
Sensor 4,20250505,5.62
Sensor 4,20250506,33.58
Sensor 4,20250507,25.84
Sensor 4,20250508,1.54
Sensor 4,20250509,0.24
Sensor 4,20250510,0.25
Sensor 4,20250511,0.29
Sensor 4,20250512,2.47
Sensor 4,20250513,6.38
Sensor 4,20250514,12.94
Sensor 4,20250515,13.75
Sensor 4,20250516,24.13
Sensor 4,20250517,7.31
Sensor 4,20250518,3.39
Sensor 4,20250519,0.96
Sensor 4,20250520,1.83
Sensor 4,20250521,1.99
Sensor 4,20250522,3.04
Sensor 4,20250523,0.78
Sensor 4,20250524,0.58
Sensor 4,20250525,1.77
Sensor 4,20250526,2.61
Sensor 4,20250527,10.01
Sensor 4,20250528,5.40
Sensor 4,20250529,7.40
