sensor, date, amplitude
Sensor 25,20250612,72.30
Sensor 25,20250613,39.38
Sensor 25,20250614,40.53
Sensor 25,20250615,34.37
Sensor 25,20250616,11.94
Sensor 25,20250617,21.66
Sensor 25,20250618,60.22
Sensor 25,20250619,38.54
Sensor 25,20250620,31.01
Sensor 25,20250621,31.66
Sensor 25,20250622,83.85
Sensor 25,20250623,13.19
Sensor 25,20250624,11.21
Sensor 25,20250625,1.60
Sensor 25,20250626,46.49
Sensor 25,20250627,4.87
Sensor 25,20250628,40.08
Sensor 25,20250629,28.15
Sensor 25,20250630,11.56
Sensor 25,20250701,6.25
Sensor 25,20250702,4.38
Sensor 25,20250703,13.75
Sensor 25,20250704,20.80
Sensor 25,20250705,5.20
Sensor 25,20250706,2.02
Sensor 25,20250707,0.04
Sensor 26,20250606,77.09
Sensor 26,20250607,74.70
Sensor 26,20250608,95.57
Sensor 26,20250609,56.63
Sensor 26,20250610,99.52
Sensor 26,20250611,82.99
Sensor 26,20250612,196.37
Sensor 26,20250613,219.99
Sensor 26,20250614,160.15
Sensor 26,20250615,108.55
Sensor 26,20250616,106.47
Sensor 26,20250617,105.79
Sensor 3,20250606,0.01
Sensor 3,20250607,0.00
Sensor 3,20250608,0.00
Sensor 4,20250606,0.11
Sensor 4,20250607,0.25
Sensor 4,20250608,0.37
Sensor 4,20250609,1.75
Sensor 4,20250610,9.65
Sensor 4,20250611,1.84
Sensor 4,20250612,0.97
Sensor 4,20250613,0.13
Sensor 4,20250614,39.25
Sensor 4,20250615,14.18
Sensor 4,20250616,9.88
Sensor 4,20250617,1.97
Sensor 4,20250618,2.50
Sensor 4,20250619,4.88
Sensor 4,20250620,1.23
Sensor 4,20250621,4.73
Sensor 4,20250622,1.58
Sensor 4,20250623,2.49
Sensor 4,20250624,2.11
Sensor 4,20250625,4.44
Sensor 4,20250626,0.14
Sensor 4,20250627,0.32
Sensor 4,20250628,1.06
Sensor 4,20250629,0.21
Sensor 4,20250630,0.71
Sensor 4,20250701,0.59
Sensor 4,20250702,0.53
Sensor 4,20250703,0.45
Sensor 4,20250704,0.03
Sensor 4,20250705,0.78
Sensor 4,20250706,0.12
Sensor 4,New folder,0.00
Sensor 5,20250606,0.01
Sensor 5,20250607,0.00
Sensor 5,20250608,0.01
Sensor 5,20250609,0.04
Sensor 5,20250610,0.10
Sensor 5,20250611,0.08
Sensor 5,20250612,0.01
Sensor 5,20250613,0.00
Sensor 5,20250614,0.01
Sensor 6,20250606,0.14
Sensor 7,20250606,22.56
Sensor 7,20250607,15.80
Sensor 7,20250608,23.20
Sensor 7,20250609,14.38
Sensor 7,20250610,27.96
Sensor 7,20250611,37.90
Sensor 7,20250612,26.68
Sensor 7,20250613,28.33
Sensor 7,20250614,24.08
Sensor 7,20250615,13.48
Sensor 8,20250606,46.81
Sensor 8,20250607,69.62
Sensor 8,20250608,246.43
Sensor 8,20250609,160.87
Sensor 8,20250610,178.81
Sensor 8,20250611,49.59
Sensor 8,20250612,82.12
Sensor 8,20250613,51.15
Sensor 9,20250606,6.32
Sensor 9,20250607,4.88
Sensor 9,20250608,4.79
Sensor 9,20250609,17.11
Sensor 9,20250610,7.86
Sensor 9,20250611,7.66
Sensor 9,20250612,1.40
Sensor 9,20250613,0.68
Sensor 9,20250614,0.13
Sensor 9,20250615,2.90
Sensor 9,20250616,5.05
Sensor 9,20250617,15.31
Sensor 9,20250618,16.58
Sensor 9,20250619,13.77
Sensor 9,20250620,1.49
Sensor 9,20250621,1.48
Sensor 9,20250622,4.67
Sensor 9,20250623,5.74
Sensor 9,20250624,5.04
Sensor 9,20250625,1.61
Sensor 9,20250626,1.25
Sensor 9,20250627,3.09
