sensor, date, amplitude
Sensor 2,20250521,0.96
Sensor 2,20250522,1.44
Sensor 2,20250523,0.94
Sensor 2,20250524,0.44
Sensor 2,20250525,0.79
Sensor 2,20250526,1.72
Sensor 2,20250527,1.87
Sensor 2,20250528,2.01
Sensor 2,20250529,1.43
Sensor 2,20250530,1.71
Sensor 2,20250531,0.34
Sensor 2,20250601,0.18
Sensor 2,20250602,1.59
Sensor 2,20250603,0.86
Sensor 2,20250604,0.99
Sensor 2,20250605,0.00
Sensor 20,20250505,0.36
Sensor 20,20250506,0.58
Sensor 20,20250507,2.54
Sensor 20,20250508,16.16
Sensor 20,20250509,8.32
Sensor 20,20250510,8.25
Sensor 20,20250511,52.16
Sensor 20,20250512,21.73
Sensor 20,20250513,5.79
Sensor 20,20250514,11.86
Sensor 20,20250515,13.03
Sensor 20,20250516,23.51
Sensor 20,20250517,7.05
Sensor 20,20250518,3.05
Sensor 20,20250519,0.90
Sensor 20,20250520,1.01
Sensor 20,20250521,1.78
Sensor 20,20250522,2.90
Sensor 20,20250523,0.78
Sensor 20,20250524,0.46
Sensor 20,20250525,1.59
Sensor 20,20250526,1.87
Sensor 20,20250527,4.57
Sensor 20,20250528,3.42
Sensor 20,20250529,7.09
Sensor 20,20250530,5.89
Sensor 20,20250531,1.42
Sensor 20,20250601,2.08
Sensor 20,20250602,2.55
Sensor 20,New folder,0.00
Sensor 21,.Spotlight-V100,0.00
Sensor 21,20250505,0.49
Sensor 21,20250506,0.32
Sensor 21,20250507,1.48
Sensor 21,20250508,7.23
Sensor 21,20250509,5.12
Sensor 21,20250510,3.44
Sensor 21,20250511,20.02
Sensor 21,20250512,9.95
Sensor 21,20250513,17.57
Sensor 21,20250514,32.90
Sensor 21,20250515,34.36
Sensor 21,20250516,43.64
Sensor 21,20250517,20.62
Sensor 21,20250518,6.77
Sensor 21,20250519,10.54
Sensor 21,20250520,9.94
Sensor 21,20250521,16.30
Sensor 21,20250522,7.11
Sensor 21,20250523,14.12
Sensor 21,20250524,15.64
Sensor 21,20250525,20.97
Sensor 21,20250526,36.74
Sensor 21,20250527,42.03
Sensor 21,20250528,30.85
Sensor 21,20250529,41.78
Sensor 21,20250530,22.49
Sensor 21,20250531,11.19
Sensor 21,20250601,47.85
Sensor 21,20250602,14.65
Sensor 21,20250603,13.53
Sensor 21,20250604,14.33
Sensor 21,20250605,0.00
Sensor 22,20250505,1.32
Sensor 22,20250506,1.27
Sensor 22,20250507,2.69
Sensor 22,20250508,7.34
Sensor 22,20250509,1.36
Sensor 22,20250510,21.78
Sensor 22,20250511,41.45
Sensor 22,20250512,29.14
Sensor 22,20250513,20.45
Sensor 22,20250514,27.33
Sensor 22,20250515,34.28
Sensor 22,20250516,43.35
Sensor 22,20250517,33.12
Sensor 22,20250518,18.91
